analysis,metric,model,model_label,split,stage,side,peptide_balanced_mean,peptide_median,ci_low,ci_high,n_peptides,n_bootstrap,test_peptide_balanced_mean,test_ci_low,test_ci_high,immrep_peptide_balanced_mean,immrep_ci_low,immrep_ci_high,immrep_minus_test,immrep_minus_test_ci_low,immrep_minus_test_ci_high,immrep_div_test,immrep_div_test_ci_low,immrep_div_test_ci_high,n_peptides_test,n_peptides_immrep
unnormalised_mse,mean_latent_norm,raw_esmc_vicreg,Raw ESMC + VICReg,test,pre_expander,tcr,1.8583832703304248,1.8539105058713907,1.8404052944072034,1.8771938854362231,381.0,2000,,,,,,,,,,,,,,
unnormalised_mse,mean_latent_norm,raw_esmc_vicreg,Raw ESMC + VICReg,train,final_latent,tcr,5.35086879880807,5.29207040575738,5.295416166252674,5.406983874601955,925.0,2000,,,,,,,,,,,,,,
unnormalised_mse,mean_latent_norm,raw_esmc_vicreg,Raw ESMC + VICReg,train,input,tcr,0.7308615888023601,0.7284556562690917,0.7295131738921993,0.7321198361716541,925.0,2000,,,,,,,,,,,,,,
unnormalised_mse,mean_latent_norm,raw_esmc_vicreg,Raw ESMC + VICReg,train,pre_expander,tcr,1.9146298658352807,1.9037287613601657,1.8999369453754535,1.9294778365733145,925.0,2000,,,,,,,,,,,,,,
unnormalised_mse,mean_latent_norm,onehot_vicreg,One-hot + VICReg,comparison_immrep_vs_test,input,tcr,,,,,,2000,0.25135137505967625,0.2509239423132814,0.25176518537071824,0.2536525239499697,0.25352873833044354,0.2537763095694958,0.002301148890293425,0.001862230650205071,0.002725944729926183,1.009155107624723,1.007398596013585,1.010864233768971,381.0,20.0
unnormalised_mse,mean_latent_norm,onehot_vicreg,One-hot + VICReg,comparison_immrep_vs_test,pre_expander,tcr,,,,,,2000,7.836450350005887,7.8015743390945165,7.873290381601381,7.489008790871663,7.466394746503756,7.511622835227215,-0.34744155913422325,-0.39255977812889536,-0.3048063977024096,0.9556634006959589,0.9501087647786854,0.9609741730518833,381.0,20.0
unnormalised_mse,mean_latent_norm,onehot_vicreg,One-hot + VICReg,comparison_immrep_vs_test,final_latent,tcr,,,,,,2000,8.097460831600166,7.96295997033564,8.236430470812495,7.850531029025591,7.835644807357789,7.865417250692057,-0.24692980257457542,-0.3925817191778315,-0.1159778570533588,0.9695052797772189,0.9523121480654044,0.9854419911364226,381.0,20.0
unnormalised_mse,mean_latent_norm,raw_esmc_vicreg,Raw ESMC + VICReg,comparison_immrep_vs_test,input,tcr,,,,,,2000,0.7346704299770745,0.7330490771312246,0.7362989182618054,0.7243270314276096,0.72368893767626,0.7249651251789592,-0.010343398549464977,-0.012100796552463234,-0.008561216437949876,0.9859210359810076,0.9835611300083881,0.9883240735394017,381.0,20.0
unnormalised_mse,mean_latent_norm,raw_esmc_vicreg,Raw ESMC + VICReg,comparison_immrep_vs_test,pre_expander,tcr,,,,,,2000,1.8583832703304248,1.8404052944072034,1.8771938854362231,2.1382055755140135,2.1262319277864585,2.150254058584799,0.27982230518358864,0.25723415372239117,0.3026928416810508,1.1505729790248465,1.1373134933021465,1.1642391242987928,381.0,20.0
unnormalised_mse,mean_latent_norm,raw_esmc_vicreg,Raw ESMC + VICReg,comparison_immrep_vs_test,final_latent,tcr,,,,,,2000,5.737394677377856,5.658109361389886,5.823044174681845,5.225420221359371,5.170849793707267,5.279990648907804,-0.5119744560184856,-0.6190651467933647,-0.40772316176427637,0.9107653412729013,0.8931638052079985,0.9282917005823204,381.0,20.0
unnormalised_mse,mean_latent_norm,lora_esmc_vicreg,LoRA ESMC + VICReg,comparison_immrep_vs_test,input,tcr,,,,,,2000,0.9341697781220242,0.931645412438861,0.9366605964380407,0.9189777750710639,0.9185825082522049,0.9193730418899231,-0.015192003050960246,-0.017724614504049344,-0.012527360128140848,0.9837374282418974,0.9810834825333615,0.9865543028099238,381.0,20.0
unnormalised_mse,mean_latent_norm,lora_esmc_vicreg,LoRA ESMC + VICReg,comparison_immrep_vs_test,pre_expander,tcr,,,,,,2000,2.130605163775141,2.1106524721355835,2.1497694731871833,2.437422999617789,2.4301987087279566,2.4446472905418735,0.3068178358426481,0.2848238521710438,0.3286649792500255,1.1440050184141153,1.1324076635413787,1.1555687215171775,381.0,20.0
unnormalised_mse,mean_latent_norm,lora_esmc_vicreg,LoRA ESMC + VICReg,comparison_immrep_vs_test,final_latent,tcr,,,,,,2000,5.629630422356638,5.559045318128573,5.703074392656914,5.44727781843265,5.42341452449483,5.471141112323725,-0.182352603923988,-0.2636153771435227,-0.1078897376633467,0.9676084236009843,0.9538293567012758,0.980608333792094,381.0,20.0
unnormalised_mse,median_latent_norm,lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,final_latent,tcr,5.293291216630605,5.293291216630605,5.258976155358826,5.327606277902385,20.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_latent_norm,lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,input,tcr,0.9180315643764109,0.918031564376411,0.9176772362338464,0.9183858925189756,20.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_latent_norm,lora_esmc_vicreg,LoRA ESMC + VICReg,immrep_test,pre_expander,tcr,2.4317610923191295,2.431761092319129,2.4218792230669375,2.4396665877208834,20.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_latent_norm,lora_esmc_vicreg,LoRA ESMC + VICReg,test,final_latent,tcr,5.611520494982967,5.5866377962166585,5.542268443077298,5.679192513286696,381.0,2000,,,,,,,,,,,,,,
unnormalised_mse,median_latent_norm,lora_esmc_vicreg,LoRA ESMC + VICReg,test,input,tcr,0.9338951513852249,0.9336521200721926,0.9314848827683496,0.9364109662209117,381.0,2000,,,,,,,,,,,,,,
