seed,split,model_name,k,purity_mean,purity_std,random_purity_expected,purity_enrichment,entropy_mean,entropy_std
31,test,raw_esmc_vicreg,5,0.2182142857142857,0.2954845121808849,0.033931765908510096,6.430973451327433,1.1764542910305018,0.45065718067273614
31,test,raw_esmc_vicreg,10,0.1917857142857143,0.2526368592526855,0.033931765908510096,5.652099416305781,1.6327238462497737,0.5283057805553598
31,test,raw_esmc_vicreg,20,0.1699107142857143,0.21345581483108883,0.033931765908510096,5.007423272453399,2.0243773904531492,0.5610707643676696
37,test,raw_esmc_vicreg,5,0.20357142857142857,0.2777230671745081,0.033931765908510096,5.999435134626247,1.2116003605211945,0.4285925184817096
37,test,raw_esmc_vicreg,10,0.18357142857142858,0.2396755885673425,0.033931765908510096,5.410016945961212,1.6581779117136954,0.5063806028834178
37,test,raw_esmc_vicreg,20,0.16473214285714285,0.19895243428943984,0.033931765908510096,4.854806062888344,2.0394326979740756,0.535568964910603
43,test,raw_esmc_vicreg,5,0.21607142857142858,0.30087775502583725,0.033931765908510096,6.3678215025418945,1.1667646414529158,0.46879803346259163
43,test,raw_esmc_vicreg,10,0.19946428571428573,0.2665582196046026,0.033931765908510096,5.878393899453964,1.594624736922684,0.583145877217902
43,test,raw_esmc_vicreg,20,0.17339285714285713,0.21740578243159467,0.033931765908510096,5.1100451892299,1.9949635750738008,0.580512648794891
49,test,raw_esmc_vicreg,5,0.22857142857142856,0.2969573596821398,0.03393176590851009,6.736207870457542,1.160257758827683,0.4413562251102048
49,test,raw_esmc_vicreg,10,0.20410714285714285,0.26206785371155233,0.03393176590851009,6.015223121822633,1.6024414403302278,0.5614612549966996
49,test,raw_esmc_vicreg,20,0.17767857142857144,0.22087885392731668,0.03393176590851009,5.23634908680098,1.9846538332806947,0.6005851426027098
55,test,raw_esmc_vicreg,5,0.21714285714285714,0.2920232028801961,0.03393176590851009,6.399397476934665,1.1605099764264057,0.45372767013790477
55,test,raw_esmc_vicreg,10,0.1878571428571429,0.2389614006914258,0.03393176590851009,5.536320843532294,1.626175855713272,0.5124461257160048
55,test,raw_esmc_vicreg,20,0.16794642857142858,0.2126454896605126,0.03393176590851009,4.949533986066655,1.9995930427939552,0.5744237205361327
31,test,finetuned_esmc_vicreg,5,0.21107142857142858,0.27970442671958307,0.033931765908510096,6.2204669553756355,1.1832065051444542,0.4251902767856888
31,test,finetuned_esmc_vicreg,10,0.1917857142857143,0.24929262168080665,0.033931765908510096,5.652099416305781,1.6156267833033484,0.5372244926589179
31,test,finetuned_esmc_vicreg,20,0.16839285714285715,0.20555045249380544,0.033931765908510096,4.962690642063642,2.004974057982492,0.5501140356927913
37,test,finetuned_esmc_vicreg,5,0.22750000000000004,0.29981095233973215,0.033931765908510096,6.704631896064772,1.1712055449699779,0.4637027797970116
37,test,finetuned_esmc_vicreg,10,0.2044642857142857,0.25814876416278953,0.033931765908510096,6.025748446620222,1.6157752241738692,0.5456731042392436
37,test,finetuned_esmc_vicreg,20,0.16758928571428572,0.1960286309979192,0.033931765908510096,4.939008661269064,2.0278525459289263,0.5463493774352367
43,test,finetuned_esmc_vicreg,5,0.22178571428571428,0.3009930418207202,0.033931765908510096,6.536226699303333,1.1821590597140808,0.4644662481588506
43,test,finetuned_esmc_vicreg,10,0.19232142857142862,0.25703314871980293,0.033931765908510096,5.667887403502166,1.627164671951834,0.550764964362236
