model,model_label,split,stage,side,metric,peptide_balanced_mean,ci_low,ci_high,n_peptides
lora_esmc_vicreg,LoRA ESMC + VICReg,train,input,tcr,mean_var_per_dim,1.0965701601892007e-05,1.0355349655681926e-05,1.1569827363001878e-05,568
lora_esmc_vicreg,LoRA ESMC + VICReg,train,input,tcr,median_pairwise_cosine,0.0114006023953877,0.010777360375012104,0.012045706884006555,568
lora_esmc_vicreg,LoRA ESMC + VICReg,train,pre_expander,hla,mean_latent_norm,2.56014362507982,2.529411241678007,2.5930045578943544,925
lora_esmc_vicreg,LoRA ESMC + VICReg,train,pre_expander,hla,covariance_trace,0.13156416554890285,0.05104190391941666,0.22581671922096747,568
lora_esmc_vicreg,LoRA ESMC + VICReg,train,pre_expander,hla,mean_var_per_dim,0.001708625526609128,0.0006995023484316016,0.0029396771277967414,568
lora_esmc_vicreg,LoRA ESMC + VICReg,train,pre_expander,hla,median_pairwise_cosine,0.01866670216676901,0.007528624753576096,0.033138053777259556,568
lora_esmc_vicreg,LoRA ESMC + VICReg,train,pre_expander,peptide,mean_latent_norm,0.678315137725459,0.6682864315366284,0.6892014918673234,925
lora_esmc_vicreg,LoRA ESMC + VICReg,train,pre_expander,peptide,covariance_trace,4.1133726801604637e-07,3.0847545291889306e-20,1.2214226626776851e-06,568
lora_esmc_vicreg,LoRA ESMC + VICReg,train,pre_expander,peptide,mean_var_per_dim,2.297973564335455e-09,1.723326552619514e-22,6.823590294289056e-09,568
lora_esmc_vicreg,LoRA ESMC + VICReg,train,pre_expander,peptide,median_pairwise_cosine,1.2834997813915518e-06,-3.037574104610431e-17,3.85049934419777e-06,568
lora_esmc_vicreg,LoRA ESMC + VICReg,train,pre_expander,pmhc,mean_latent_norm,2.6560321666372415,2.6241947248943305,2.6890757264174123,925
lora_esmc_vicreg,LoRA ESMC + VICReg,train,pre_expander,pmhc,covariance_trace,0.13156457688617085,0.054515402947392336,0.2232043429149454,568
lora_esmc_vicreg,LoRA ESMC + VICReg,train,pre_expander,pmhc,mean_var_per_dim,0.0005139241284616049,0.0002244279825803574,0.0008975357275270554,568
