split,category,model,metric,mean,std,n_seeds,seeds,n_pairs,n_pos,n_neg,n_peptides,n_pep_n_le_2,frac_pairs_n_le_2,note
test,unseen_HLA,esm_vicreg_finetuned,pep_w_auroc_min2each,0.5873610849697806,0.0348790400140598,5,"31,37,43,49,55",264,134,130,14,8.0,0.045454545454545456,
test,unseen_HLA,esm_vicreg_raw,global_auroc,0.5985993111366247,0.02607364685510976,5,"31,37,43,49,55",264,134,130,14,8.0,0.045454545454545456,
test,unseen_HLA,esm_vicreg_raw,global_auprc,0.577564233653631,0.027304333178804534,5,"31,37,43,49,55",264,134,130,14,8.0,0.045454545454545456,
test,unseen_HLA,esm_vicreg_raw,pep_w_auroc,0.5905995236647411,0.026776903820888882,5,"31,37,43,49,55",264,134,130,14,8.0,0.045454545454545456,
test,unseen_HLA,esm_vicreg_raw,pep_w_auroc_min2each,0.5807772863207645,0.028243907246248933,5,"31,37,43,49,55",264,134,130,14,8.0,0.045454545454545456,
test,unseen_HLA,finetuned_esmc_meanpool,global_auroc,0.4772101033295063,0.0,5,"31,37,43,49,55",264,134,130,14,8.0,0.045454545454545456,
test,unseen_HLA,finetuned_esmc_meanpool,global_auprc,0.49284148175295367,0.0,5,"31,37,43,49,55",264,134,130,14,8.0,0.045454545454545456,
test,unseen_HLA,finetuned_esmc_meanpool,pep_w_auroc,0.47714984291071244,0.0,5,"31,37,43,49,55",264,134,130,14,8.0,0.045454545454545456,
test,unseen_HLA,finetuned_esmc_meanpool,pep_w_auroc_min2each,0.47642444109835413,0.0,5,"31,37,43,49,55",264,134,130,14,8.0,0.045454545454545456,
test,unseen_HLA,onehot_composition,global_auroc,0.446211251435132,0.0,5,"31,37,43,49,55",264,134,130,14,8.0,0.045454545454545456,
test,unseen_HLA,onehot_composition,global_auprc,0.48734613463115045,6.206335383118183e-17,5,"31,37,43,49,55",264,134,130,14,8.0,0.045454545454545456,
test,unseen_HLA,onehot_composition,pep_w_auroc,0.4004227053140096,6.206335383118183e-17,5,"31,37,43,49,55",264,134,130,14,8.0,0.045454545454545456,
test,unseen_HLA,onehot_composition,pep_w_auroc_min2each,0.40519802929223225,6.206335383118183e-17,5,"31,37,43,49,55",264,134,130,14,8.0,0.045454545454545456,
test,unseen_HLA,onehot_vicreg,global_auroc,0.5914925373134328,0.024383037668113613,5,"31,37,43,49,55",264,134,130,14,8.0,0.045454545454545456,
test,unseen_HLA,onehot_vicreg,global_auprc,0.5822390205629385,0.02637303576790722,5,"31,37,43,49,55",264,134,130,14,8.0,0.045454545454545456,
test,unseen_HLA,onehot_vicreg,pep_w_auroc,0.6012545691023952,0.03949233358003963,5,"31,37,43,49,55",264,134,130,14,8.0,0.045454545454545456,
test,unseen_HLA,onehot_vicreg,pep_w_auroc_min2each,0.6044689998675505,0.04074605845559643,5,"31,37,43,49,55",264,134,130,14,8.0,0.045454545454545456,
test,unseen_HLA,pretrained_esmc_meanpool,global_auroc,0.4950057405281286,0.0,5,"31,37,43,49,55",264,134,130,14,8.0,0.045454545454545456,
test,unseen_HLA,pretrained_esmc_meanpool,global_auprc,0.500063835772957,0.0,5,"31,37,43,49,55",264,134,130,14,8.0,0.045454545454545456,
test,unseen_HLA,pretrained_esmc_meanpool,pep_w_auroc,0.494559474342083,0.0,5,"31,37,43,49,55",264,134,130,14,8.0,0.045454545454545456,
test,unseen_HLA,pretrained_esmc_meanpool,pep_w_auroc_min2each,0.5023232671783396,0.0,5,"31,37,43,49,55",264,134,130,14,8.0,0.045454545454545456,
test,unseen_TCR,esm_vicreg_finetuned,global_auroc,0.8010716091209835,0.004697603807285626,5,"31,37,43,49,55",3290,1644,1646,261,183.0,0.09939209726443769,
test,unseen_TCR,esm_vicreg_finetuned,global_auprc,0.7956658077685101,0.004960508895741056,5,"31,37,43,49,55",3290,1644,1646,261,183.0,0.09939209726443769,
test,unseen_TCR,esm_vicreg_finetuned,pep_w_auroc,0.7907953411744229,0.005119239537204601,5,"31,37,43,49,55",3290,1644,1646,261,183.0,0.09939209726443769,
test,unseen_TCR,esm_vicreg_finetuned,pep_w_auroc_min2each,0.8005793650737688,0.004773090628622514,5,"31,37,43,49,55",3290,1644,1646,261,183.0,0.09939209726443769,
test,unseen_TCR,esm_vicreg_raw,global_auroc,0.8029963518431471,0.0033843026294139993,5,"31,37,43,49,55",3290,1644,1646,261,183.0,0.09939209726443769,
test,unseen_TCR,esm_vicreg_raw,global_auprc,0.8004077640835,0.0038769887079415336,5,"31,37,43,49,55",3290,1644,1646,261,183.0,0.09939209726443769,
test,unseen_TCR,esm_vicreg_raw,pep_w_auroc,0.7906969323763625,0.002952658706577206,5,"31,37,43,49,55",3290,1644,1646,261,183.0,0.09939209726443769,
test,unseen_TCR,esm_vicreg_raw,pep_w_auroc_min2each,0.8012908116589609,0.0022635537273706756,5,"31,37,43,49,55",3290,1644,1646,261,183.0,0.09939209726443769,
test,unseen_TCR,finetuned_esmc_meanpool,global_auroc,0.5325710341076059,0.0,5,"31,37,43,49,55",3290,1644,1646,261,183.0,0.09939209726443769,
